lag_seconds,lag_periods,correlation,p_value,direction
-300,-5,-0.2987679151756455,1.9755001112285643e-54,Spread leads by 300s
-240,-4,-0.294324511896423,5.550644632263933e-53,Spread leads by 240s
-180,-3,-0.28950670978558896,2.0399078696176287e-51,Spread leads by 180s
-120,-2,-0.2816038076184837,8.586120467808421e-49,Spread leads by 120s
-60,-1,-0.28334578556190626,1.4486078626042611e-49,Spread leads by 60s
0,0,-0.28454966441460505,3.720702391334119e-50,Contemporaneous
60,1,-0.2842576765540784,6.91107530771814e-50,Ratio leads by 60s
120,2,-0.2773854610773371,2.451302814725934e-47,Ratio leads by 120s
180,3,-0.27079203829405335,5.798886047956215e-45,Ratio leads by 180s
240,4,-0.2662170032522424,2.5700383942809226e-43,Ratio leads by 240s
300,5,-0.26360528205345807,2.4715605505470023e-42,Ratio leads by 300s
