minute_bin,spread_bps,informed_share,quote_updates,n_takers,spread_change_from_baseline,informed_change_from_baseline
0,1.2055897411742011,0.7174562000257967,114.64444444444445,11464,0.0,0.0
5,2.3637508850361475,0.6636819889758505,46.955555555555556,10378,1.1581611438619464,-0.053774211049946175
10,3.12022509096945,0.5294406216307744,30.84090909090909,2401,1.914635349795249,-0.18801557839502225
15,2.498276881977672,0.7078341649818614,19.5,1448,1.2926871408034708,-0.009622035043935329
20,3.679987650831196,0.5774043938200891,20.25581395348837,2257,2.474397909656995,-0.14005180620570756
25,7.6828661108380985,0.6281267585954251,11.046511627906977,1469,6.4772763696638975,-0.08932944143037158
30,6.863100270129256,0.6886531188798982,19.11111111111111,2632,5.657510528955055,-0.028803081145898468
35,5.311479617973914,0.6375415492573615,21.466666666666665,6501,4.105889876799713,-0.07991465076843518
40,6.100782615332452,0.46195137427419647,33.0,11477,4.895192874158251,-0.2555048257516002
45,7.632475859586338,0.43658129486055364,66.5111111111111,22101,6.426886118412137,-0.28087490516524305
50,1.9601716612267854,0.3563611210388541,89.53333333333333,19658,0.7545819200525843,-0.3610950789869426
55,2.1918454791258695,0.5154242653718123,110.62222222222222,16696,0.9862557379516683,-0.2020319346539844
