asset,minute,spread_bps,best_bid_changed,best_ask_changed,book_state_changed,quote_updates,informed_share,informed_ratio,n_takers,n_classified,spread_lag1,informed_share_lag1,quote_updates_lag1,spread_lead1,informed_share_lead1,spread_lag2,informed_share_lag2,quote_updates_lag2,spread_lead2,informed_share_lead2,spread_lag3,informed_share_lag3,quote_updates_lag3,spread_lead3,informed_share_lead3,spread_lag4,informed_share_lag4,quote_updates_lag4,spread_lead4,informed_share_lead4,spread_lag5,informed_share_lag5,quote_updates_lag5,spread_lead5,informed_share_lead5,spread_change,informed_share_change,date,hour,minute_of_hour,is_outage,is_outage_day
ARB,2025-07-28 12:01:00+00:00,2.130969377969804,35,51,70,86,1.0,,2,1,2.1266641387157463,0.0,87.0,1.06720169044736,1.0,,,,1.0674751011431483,,,,,1.7109371658319215,,,,,2.2457869554667056,,,,,2.137939881130307,1.0,0.004305239254057458,1.0,2025-07-28,12,1,False,False
ARB,2025-07-28 12:02:00+00:00,1.06720169044736,40,70,85,110,1.0,,14,10,2.130969377969804,1.0,86.0,1.0674751011431483,,2.1266641387157463,0.0,87.0,1.7109371658319215,,,,,2.2457869554667056,,,,,2.137939881130307,1.0,,,,2.3517590088404545,,-1.0637676875224438,0.0,2025-07-28,12,2,False,False
ARB,2025-07-28 12:17:00+00:00,2.988515561628079,48,32,68,80,1.0,,1,1,3.5214992438378454,0.0,85.0,3.202493675074639,,3.629027954188933,,98.0,2.9861570291997843,,3.8400819217479514,,77.0,3.2005803719070864,,4.690431519699769,,84.0,3.4065746891499207,1.0,3.8400819217479514,1.0,119.0,3.618753658666457,,-0.5329836822097662,1.0,2025-07-28,12,17,False,False
ARB,2025-07-28 12:50:00+00:00,2.4536612653919003,45,58,77,103,1.0,,8,3,2.781313849873643,1.0,128.0,3.6315086782377244,,3.635469349785689,,133.0,2.9924760601909512,,3.6367914941865562,0.0,115.0,2.3523122159850094,1.0,3.192814039868434,,115.0,2.7828618523160684,,2.7649279523585686,,116.0,2.571575518601256,,-0.3276525844817426,0.0,2025-07-28,12,50,False,False
ARB,2025-07-28 13:09:00+00:00,2.7923661006747538,44,35,76,79,0.0,0.0,8,4,2.3670421754928754,0.0,91.0,3.660676794539207,0.0,3.223969135868451,,117.0,3.227229208575468,0.0,3.2291049997317476,,132.0,3.233211549031297,0.0,2.798710312343149,,104.0,3.0255878511020367,0.0,2.3715329804779497,0.0,116.0,3.245523881646205,1.0,0.42532392518187834,0.0,2025-07-28,13,9,False,False
ARB,2025-07-28 13:10:00+00:00,3.660676794539207,58,61,93,119,0.0,0.0,12,4,2.7923661006747538,0.0,79.0,3.227229208575468,0.0,2.3670421754928754,0.0,91.0,3.233211549031297,0.0,3.223969135868451,,117.0,3.0255878511020367,0.0,3.2291049997317476,,132.0,3.245523881646205,1.0,2.798710312343149,,104.0,3.3482943757423103,0.0,0.8683106938644531,0.0,2025-07-28,13,10,False,False
ARB,2025-07-28 13:11:00+00:00,3.227229208575468,64,45,91,109,0.0,0.0,19,4,3.660676794539207,0.0,119.0,3.233211549031297,0.0,2.7923661006747538,0.0,79.0,3.0255878511020367,0.0,2.3670421754928754,0.0,91.0,3.245523881646205,1.0,3.223969135868451,,117.0,3.3482943757423103,0.0,3.2291049997317476,,132.0,2.5917367387923473,0.0,-0.433447585963739,0.0,2025-07-28,13,11,False,False
ARB,2025-07-28 13:12:00+00:00,3.233211549031297,84,55,99,139,0.0,0.0,9,4,3.227229208575468,0.0,109.0,3.0255878511020367,0.0,3.660676794539207,0.0,119.0,3.245523881646205,1.0,2.7923661006747538,0.0,79.0,3.3482943757423103,0.0,2.3670421754928754,0.0,91.0,2.5917367387923473,0.0,3.223969135868451,,117.0,3.0218653543131406,,0.005982340455829238,0.0,2025-07-28,13,12,False,False
ARB,2025-07-28 13:13:00+00:00,3.0255878511020367,83,78,105,161,0.0,0.0,14,2,3.233211549031297,0.0,139.0,3.245523881646205,1.0,3.227229208575468,0.0,109.0,3.3482943757423103,0.0,3.660676794539207,0.0,119.0,2.5917367387923473,0.0,2.7923661006747538,0.0,79.0,3.0218653543131406,,2.3670421754928754,0.0,91.0,3.024934099650598,,-0.2076236979292605,0.0,2025-07-28,13,13,False,False
ARB,2025-07-28 13:14:00+00:00,3.245523881646205,71,63,89,134,1.0,,12,1,3.0255878511020367,0.0,161.0,3.3482943757423103,0.0,3.233211549031297,0.0,139.0,2.5917367387923473,0.0,3.227229208575468,0.0,109.0,3.0218653543131406,,3.660676794539207,0.0,119.0,3.024934099650598,,2.7923661006747538,0.0,79.0,3.0279113882232394,,0.21993603054416822,1.0,2025-07-28,13,14,False,False
ARB,2025-07-28 13:15:00+00:00,3.3482943757423103,94,73,107,167,0.0,0.0,18,1,3.245523881646205,1.0,134.0,2.5917367387923473,0.0,3.0255878511020367,0.0,161.0,3.0218653543131406,,3.233211549031297,0.0,139.0,3.024934099650598,,3.227229208575468,0.0,109.0,3.0279113882232394,,3.660676794539207,0.0,119.0,2.8171761060117126,,0.10277049409610539,-1.0,2025-07-28,13,15,False,False
ARB,2025-07-28 13:16:00+00:00,2.5917367387923473,85,64,101,149,0.0,0.0,27,6,3.3482943757423103,0.0,167.0,3.0218653543131406,,3.245523881646205,1.0,134.0,3.024934099650598,,3.0255878511020367,0.0,161.0,3.0279113882232394,,3.233211549031297,0.0,139.0,2.8171761060117126,,3.227229208575468,0.0,109.0,2.603714632876432,1.0,-0.7565576369499629,0.0,2025-07-28,13,16,False,False
ARB,2025-07-28 13:22:00+00:00,2.608639258218522,81,62,102,143,0.4,0.6666666666666666,11,5,2.603714632876432,1.0,160.0,3.0489796807276934,,2.8171761060117126,,150.0,3.6969782639425772,0.5,3.0279113882232394,,129.0,2.3948184836444564,,3.024934099650598,,142.0,1.965730760410936,,3.0218653543131406,,141.0,1.9642292037228468,1.0,0.004924625342090039,-0.6,2025-07-28,13,22,False,False
ARB,2025-07-28 13:33:00+00:00,1.316742379353578,68,89,105,157,0.16666666666666666,0.2,46,12,1.534885791824605,0.6666666666666666,141.0,2.1920690940176017,,1.3055966576726543,,120.0,1.9691715257792775,,1.3044896184368844,,105.0,1.526534440433636,0.0,0.43554955465101597,,55.0,1.4166912396912843,0.0,1.5241413096731695,,108.0,2.1784593935166647,0.0,-0.2181434124710271,-0.5,2025-07-28,13,33,False,False
ARB,2025-07-28 13:37:00+00:00,1.4166912396912843,57,70,94,127,0.0,0.0,4,2,1.526534440433636,0.0,133.0,2.1784593935166647,0.0,1.9691715257792775,,151.0,2.1700917948826843,0.3333333333333333,2.1920690940176017,,164.0,2.822191190880095,0.0,1.316742379353578,0.16666666666666666,157.0,2.3872822961314957,0.0,1.534885791824605,0.6666666666666666,141.0,1.9528919074324678,0.0,-0.10984320074235177,0.0,2025-07-28,13,37,False,False
ARB,2025-07-28 13:38:00+00:00,2.1784593935166647,61,73,100,134,0.0,0.0,9,2,1.4166912396912843,0.0,127.0,2.1700917948826843,0.3333333333333333,1.526534440433636,0.0,133.0,2.822191190880095,0.0,1.9691715257792775,,151.0,2.3872822961314957,0.0,2.1920690940176017,,164.0,1.9528919074324678,0.0,1.316742379353578,0.16666666666666666,157.0,2.3875413750067604,0.0,0.7617681538253804,0.0,2025-07-28,13,38,False,False
ARB,2025-07-28 13:39:00+00:00,2.1700917948826843,62,64,94,126,0.3333333333333333,0.5,5,3,2.1784593935166647,0.0,134.0,2.822191190880095,0.0,1.4166912396912843,0.0,127.0,2.3872822961314957,0.0,1.526534440433636,0.0,133.0,1.9528919074324678,0.0,1.9691715257792775,,151.0,2.3875413750067604,0.0,2.1920690940176017,,164.0,3.694086202588109,0.0,-0.0083675986339804,0.3333333333333333,2025-07-28,13,39,False,False
ARB,2025-07-28 13:40:00+00:00,2.822191190880095,64,89,102,153,0.0,0.0,4,2,2.1700917948826843,0.3333333333333333,126.0,2.3872822961314957,0.0,2.1784593935166647,0.0,134.0,1.9528919074324678,0.0,1.4166912396912843,0.0,127.0,2.3875413750067604,0.0,1.526534440433636,0.0,133.0,3.694086202588109,0.0,1.9691715257792775,,151.0,2.828269642876981,0.3333333333333333,0.6520993959974106,-0.3333333333333333,2025-07-28,13,40,False,False
ARB,2025-07-28 13:41:00+00:00,2.3872822961314957,68,85,104,153,0.0,0.0,3,2,2.822191190880095,0.0,153.0,1.9528919074324678,0.0,2.1700917948826843,0.3333333333333333,126.0,2.3875413750067604,0.0,2.1784593935166647,0.0,134.0,3.694086202588109,0.0,1.4166912396912843,0.0,127.0,2.828269642876981,0.3333333333333333,1.526534440433636,0.0,133.0,3.0480503363747578,0.0,-0.4349088947485993,0.0,2025-07-28,13,41,False,False
ARB,2025-07-28 13:42:00+00:00,1.9528919074324678,69,75,102,144,0.0,0.0,37,4,2.3872822961314957,0.0,153.0,2.3875413750067604,0.0,2.822191190880095,0.0,153.0,3.694086202588109,0.0,2.1700917948826843,0.3333333333333333,126.0,2.828269642876981,0.3333333333333333,2.1784593935166647,0.0,134.0,3.0480503363747578,0.0,1.4166912396912843,0.0,127.0,3.0601762722894357,0.0,-0.4343903886990279,0.0,2025-07-28,13,42,False,False
ARB,2025-07-28 13:43:00+00:00,2.3875413750067604,81,66,102,147,0.0,0.0,12,2,1.9528919074324678,0.0,144.0,3.694086202588109,0.0,2.3872822961314957,0.0,153.0,2.828269642876981,0.3333333333333333,2.822191190880095,0.0,153.0,3.0480503363747578,0.0,2.1700917948826843,0.3333333333333333,126.0,3.0601762722894357,0.0,2.1784593935166647,0.0,134.0,2.4072393401538417,,0.4346494675742927,0.0,2025-07-28,13,43,False,False
ARB,2025-07-28 13:44:00+00:00,3.694086202588109,71,62,95,133,0.0,0.0,2,2,2.3875413750067604,0.0,147.0,2.828269642876981,0.3333333333333333,1.9528919074324678,0.0,144.0,3.0480503363747578,0.0,2.3872822961314957,0.0,153.0,3.0601762722894357,0.0,2.822191190880095,0.0,153.0,2.4072393401538417,,2.1700917948826843,0.3333333333333333,126.0,1.6395874563293285,,1.3065448275813485,0.0,2025-07-28,13,44,False,False
