asset,time,spread,bid_updates,ask_updates,quote_updates,ratio,log_ratio,n_informed,n_uninformed,n_total,spread_lag1,spread_lead1,ratio_lag1,ratio_lead1,log_ratio_lag1,spread_lag2,spread_lead2,ratio_lag2,ratio_lead2,log_ratio_lag2,spread_lag3,spread_lead3,ratio_lag3,ratio_lead3,log_ratio_lag3,spread_lag4,spread_lead4,ratio_lag4,ratio_lead4,log_ratio_lag4,spread_lag5,spread_lead5,ratio_lag5,ratio_lead5,log_ratio_lag5,spread_lag6,spread_lead6,ratio_lag6,ratio_lead6,log_ratio_lag6,d_spread,d_ratio,d_log_ratio,minute,is_outage
ARB,2025-07-29 13:01:00+00:00,2.514889287714743,44,19,63,1.0,0.0,0,0,1,3.201902845118779,3.4213377430571583,0.01639344262295082,1.0,-4.110873864173311,,3.4174403371870703,,1.0,,,2.7444881529596783,,1.0,,,2.7463726435088933,,1.0,,,4.126121789903818,,1.0,,,2.8652289541597065,,1.0,,-0.6870135574040361,0.9836065573770492,4.110873864173311,781,False
ARB,2025-07-29 13:02:30+00:00,3.4213377430571583,51,24,75,1.0,0.0,0,0,1,2.514889287714743,3.4174403371870703,1.0,1.0,0.0,3.201902845118779,2.7444881529596783,0.01639344262295082,1.0,-4.110873864173311,,2.7463726435088933,,1.0,,,4.126121789903818,,1.0,,,2.8652289541597065,,1.0,,,2.520536645165702,,1.0,,0.9064484553424155,0.0,0.0,782,False
ARB,2025-07-29 13:03:30+00:00,3.4174403371870703,47,23,70,1.0,0.0,0,0,1,3.4213377430571583,2.7444881529596783,1.0,1.0,0.0,2.514889287714743,2.7463726435088933,1.0,1.0,0.0,3.201902845118779,4.126121789903818,0.01639344262295082,1.0,-4.110873864173311,,2.8652289541597065,,1.0,,,2.520536645165702,,1.0,,,3.4342624921307077,,1.0,,-0.003897405870088022,0.0,0.0,783,False
ARB,2025-07-29 13:06:00+00:00,2.7444881529596783,39,21,60,1.0,0.0,0,0,1,3.4174403371870703,2.7463726435088933,1.0,1.0,0.0,3.4213377430571583,4.126121789903818,1.0,1.0,0.0,2.514889287714743,2.8652289541597065,1.0,1.0,0.0,3.201902845118779,2.520536645165702,0.01639344262295082,1.0,-4.110873864173311,,3.4342624921307077,,1.0,,,2.9786454228768573,,1.0,,-0.672952184227392,0.0,0.0,786,False
ARB,2025-07-29 13:06:30+00:00,2.7463726435088933,36,28,64,1.0,0.0,0,0,11,2.7444881529596783,4.126121789903818,1.0,1.0,0.0,3.4174403371870703,2.8652289541597065,1.0,1.0,0.0,3.4213377430571583,2.520536645165702,1.0,1.0,0.0,2.514889287714743,3.4342624921307077,1.0,1.0,0.0,3.201902845118779,2.9786454228768573,0.01639344262295082,1.0,-4.110873864173311,,2.292999472609869,,1.0,,0.0018844905492150232,0.0,0.0,786,False
ARB,2025-07-29 13:08:00+00:00,4.126121789903818,37,27,64,1.0,0.0,0,0,4,2.7463726435088933,2.8652289541597065,1.0,1.0,0.0,2.7444881529596783,2.520536645165702,1.0,1.0,0.0,3.4174403371870703,3.4342624921307077,1.0,1.0,0.0,3.4213377430571583,2.9786454228768573,1.0,1.0,0.0,2.514889287714743,2.292999472609869,1.0,1.0,0.0,3.201902845118779,3.2081395082387085,0.01639344262295082,1.0,-4.110873864173311,1.379749146394925,0.0,0.0,788,False
ARB,2025-07-29 13:08:30+00:00,2.8652289541597065,27,17,44,1.0,0.0,0,0,1,4.126121789903818,2.520536645165702,1.0,1.0,0.0,2.7463726435088933,3.4342624921307077,1.0,1.0,0.0,2.7444881529596783,2.9786454228768573,1.0,1.0,0.0,3.4174403371870703,2.292999472609869,1.0,1.0,0.0,3.4213377430571583,3.2081395082387085,1.0,1.0,0.0,2.514889287714743,2.9771105996592127,1.0,0.09090909090909091,0.0,-1.2608928357441118,0.0,0.0,788,False
ARB,2025-07-29 13:09:00+00:00,2.520536645165702,35,12,47,1.0,0.0,0,0,1,2.8652289541597065,3.4342624921307077,1.0,1.0,0.0,4.126121789903818,2.9786454228768573,1.0,1.0,0.0,2.7463726435088933,2.292999472609869,1.0,1.0,0.0,2.7444881529596783,3.2081395082387085,1.0,1.0,0.0,3.4174403371870703,2.9771105996592127,1.0,0.09090909090909091,0.0,3.4213377430571583,2.290373559927372,1.0,1.0,0.0,-0.3446923089940044,0.0,0.0,789,False
ARB,2025-07-29 13:09:30+00:00,3.4342624921307077,26,12,38,1.0,0.0,0,0,1,2.520536645165702,2.9786454228768573,1.0,1.0,0.0,2.8652289541597065,2.292999472609869,1.0,1.0,0.0,4.126121789903818,3.2081395082387085,1.0,1.0,0.0,2.7463726435088933,2.9771105996592127,1.0,0.09090909090909091,0.0,2.7444881529596783,2.290373559927372,1.0,1.0,0.0,3.4174403371870703,3.2041745817401748,1.0,21.0,0.0,0.9137258469650056,0.0,0.0,789,False
ARB,2025-07-29 13:10:00+00:00,2.9786454228768573,38,22,60,1.0,0.0,0,0,2,3.4342624921307077,2.292999472609869,1.0,1.0,0.0,2.520536645165702,3.2081395082387085,1.0,1.0,0.0,2.8652289541597065,2.9771105996592127,1.0,0.09090909090909091,0.0,4.126121789903818,2.290373559927372,1.0,1.0,0.0,2.7463726435088933,3.2041745817401748,1.0,21.0,0.0,2.7444881529596783,4.1135336627901165,1.0,1.0,0.0,-0.45561706925385037,0.0,0.0,790,False
