asset,time,spread,spread_vol,bid_updates,ask_updates,depth,quote_updates,log_spread,ratio,log_ratio,informed_share,n_informed,n_uninformed,n_total,hour,minute_of_hour,is_outage,spread_lag1,log_spread_lag1,log_ratio_lag1,quote_updates_lag1,spread_lag2,log_spread_lag2,log_ratio_lag2,quote_updates_lag2,spread_lag3,log_spread_lag3,log_ratio_lag3,quote_updates_lag3,spread_lag4,log_spread_lag4,log_ratio_lag4,quote_updates_lag4,spread_lag5,log_spread_lag5,log_ratio_lag5,quote_updates_lag5,d_spread,d_log_spread,d_log_ratio,d_log_ratio_lag1,d_log_spread_lag1
ARB,2025-07-28 12:00:00+00:00,2.1266641387157463,0.9647455602617918,48,39,30374.152993636362,87,0.7592457991354131,0.1111111111111111,-2.1972245773362196,0.0,0,4,7,12,0,False,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,2025-07-28 12:01:00+00:00,2.130969377969804,0.8800532457729869,35,51,32620.936858666668,86,0.7612587068288502,3.0,1.0986122886681098,0.9900990099009901,1,0,2,12,1,False,2.1266641387157463,0.7592457991354131,-2.1972245773362196,87.0,,,,,,,,,,,,,,,,,0.004305239254057458,0.0020129076934370937,3.295836866004329,,
ARB,2025-07-28 12:02:00+00:00,1.06720169044736,1.1251580741707263,40,70,37505.317077261265,110,0.07436665125166181,19.0,2.9444389791664403,0.9988901220865705,9,0,14,12,2,False,2.130969377969804,0.7612587068288502,1.0986122886681098,86.0,2.1266641387157463,0.7592457991354131,-2.1972245773362196,87.0,,,,,,,,,,,,,-1.0637676875224438,-0.6868920555771885,1.8458266904983305,3.295836866004329,0.0020129076934370937
ARB,2025-07-28 12:03:00+00:00,1.0674751011431483,0.8990660771346731,29,35,27255.961677445455,64,0.0746204347409747,1.0,0.0,0.0,0,0,9,12,3,False,1.06720169044736,0.07436665125166181,2.9444389791664403,110.0,2.130969377969804,0.7612587068288502,1.0986122886681098,86.0,2.1266641387157463,0.7592457991354131,-2.1972245773362196,87.0,,,,,,,,,0.0002734106957882343,0.0002537834893128893,-2.9444389791664403,1.8458266904983305,-0.6868920555771885
ARB,2025-07-28 12:05:00+00:00,1.7109371658319215,0.9714457326079432,56,41,30346.77479771171,97,0.5428690062967164,1.0,0.0,0.0,0,0,1,12,5,False,1.0674751011431483,0.0746204347409747,0.0,64.0,1.06720169044736,0.07436665125166181,2.9444389791664403,110.0,2.130969377969804,0.7612587068288502,1.0986122886681098,86.0,2.1266641387157463,0.7592457991354131,-2.1972245773362196,87.0,,,,,0.6434620646887732,0.46824857155574173,0.0,-2.9444389791664403,0.0002537834893128893
ARB,2025-07-28 12:06:00+00:00,2.2457869554667056,0.8860508909984696,43,41,34701.45309791818,84,0.8134988945430291,1.0,0.0,0.0,0,0,2,12,6,False,1.7109371658319215,0.5428690062967164,0.0,97.0,1.0674751011431483,0.0746204347409747,0.0,64.0,1.06720169044736,0.07436665125166181,2.9444389791664403,110.0,2.130969377969804,0.7612587068288502,1.0986122886681098,86.0,2.1266641387157463,0.7592457991354131,-2.1972245773362196,87.0,0.5348497896347841,0.27062988824631273,0.0,0.0,0.46824857155574173
ARB,2025-07-28 12:07:00+00:00,2.137939881130307,0.8669860095401091,39,33,26272.300995554546,72,0.7645091879543365,1.0,0.0,0.0,0,0,2,12,7,False,2.2457869554667056,0.8134988945430291,0.0,84.0,1.7109371658319215,0.5428690062967164,0.0,97.0,1.0674751011431483,0.0746204347409747,0.0,64.0,1.06720169044736,0.07436665125166181,2.9444389791664403,110.0,2.130969377969804,0.7612587068288502,1.0986122886681098,86.0,-0.1078470743363984,-0.048989706588692616,0.0,0.0,0.27062988824631273
ARB,2025-07-28 12:08:00+00:00,2.3517590088404545,0.9976342173773479,42,33,31054.642754,75,0.8594066841365773,1.0,0.0,0.0,0,0,3,12,8,False,2.137939881130307,0.7645091879543365,0.0,72.0,2.2457869554667056,0.8134988945430291,0.0,84.0,1.7109371658319215,0.5428690062967164,0.0,97.0,1.0674751011431483,0.0746204347409747,0.0,64.0,1.06720169044736,0.07436665125166181,2.9444389791664403,110.0,0.21381912771014733,0.09489749618224075,0.0,0.0,-0.048989706588692616
ARB,2025-07-28 12:09:00+00:00,2.1381684693478604,0.7542468516435743,46,46,29448.331509918182,92,0.7646156043661775,1.0,0.0,0.0,0,0,1,12,9,False,2.3517590088404545,0.8594066841365773,0.0,75.0,2.137939881130307,0.7645091879543365,0.0,72.0,2.2457869554667056,0.8134988945430291,0.0,84.0,1.7109371658319215,0.5428690062967164,0.0,97.0,1.0674751011431483,0.0746204347409747,0.0,64.0,-0.2135905394925941,-0.0947910797703998,0.0,0.0,0.09489749618224075
ARB,2025-07-28 12:10:00+00:00,2.136113128551053,0.7847250726195968,39,50,31007.382306201835,89,0.7636583588260811,1.0,0.0,0.0,0,0,1,12,10,False,2.1381684693478604,0.7646156043661775,0.0,92.0,2.3517590088404545,0.8594066841365773,0.0,75.0,2.137939881130307,0.7645091879543365,0.0,72.0,2.2457869554667056,0.8134988945430291,0.0,84.0,1.7109371658319215,0.5428690062967164,0.0,97.0,-0.002055340796807581,-0.000957245540096352,0.0,0.0,-0.0947910797703998
ARB,2025-07-28 12:11:00+00:00,2.3486959399587692,0.856383063203527,53,48,30689.033951261263,101,0.8581088985015811,1.0,0.0,0.0,0,0,4,12,11,False,2.136113128551053,0.7636583588260811,0.0,89.0,2.1381684693478604,0.7646156043661775,0.0,92.0,2.3517590088404545,0.8594066841365773,0.0,75.0,2.137939881130307,0.7645091879543365,0.0,72.0,2.2457869554667056,0.8134988945430291,0.0,84.0,0.2125828114077164,0.09445053967549999,0.0,0.0,-0.000957245540096352
ARB,2025-07-28 12:12:00+00:00,3.8400819217479514,1.8188516897409113,60,59,28901.999686990825,119,1.3480944264494026,1.0,0.0,0.0,0,0,23,12,12,False,2.3486959399587692,0.8581088985015811,0.0,101.0,2.136113128551053,0.7636583588260811,0.0,89.0,2.1381684693478604,0.7646156043661775,0.0,92.0,2.3517590088404545,0.8594066841365773,0.0,75.0,2.137939881130307,0.7645091879543365,0.0,72.0,1.4913859817891821,0.48998552794782146,0.0,0.0,0.09445053967549999
ARB,2025-07-28 12:13:00+00:00,4.690431519699769,1.0186820597073198,46,38,29800.2047425,84,1.547654317203563,1.0,0.0,0.0,0,0,1,12,13,False,3.8400819217479514,1.3480944264494026,0.0,119.0,2.3486959399587692,0.8581088985015811,0.0,101.0,2.136113128551053,0.7636583588260811,0.0,89.0,2.1381684693478604,0.7646156043661775,0.0,92.0,2.3517590088404545,0.8594066841365773,0.0,75.0,0.8503495979518174,0.19955989075416047,0.0,0.0,0.48998552794782146
ARB,2025-07-28 12:14:00+00:00,3.8400819217479514,1.116197599217604,36,41,31515.03694307273,77,1.3480944264494026,1.0,0.0,0.0,0,0,4,12,14,False,4.690431519699769,1.547654317203563,0.0,84.0,3.8400819217479514,1.3480944264494026,0.0,119.0,2.3486959399587692,0.8581088985015811,0.0,101.0,2.136113128551053,0.7636583588260811,0.0,89.0,2.1381684693478604,0.7646156043661775,0.0,92.0,-0.8503495979518174,-0.19955989075416047,0.0,0.0,0.19955989075416047
ARB,2025-07-28 12:15:00+00:00,3.629027954188933,0.8892959558036129,54,44,31422.41903977064,98,1.2917166004331455,1.0,0.0,0.0,0,0,1,12,15,False,3.8400819217479514,1.3480944264494026,0.0,77.0,4.690431519699769,1.547654317203563,0.0,84.0,3.8400819217479514,1.3480944264494026,0.0,119.0,2.3486959399587692,0.8581088985015811,0.0,101.0,2.136113128551053,0.7636583588260811,0.0,89.0,-0.2110539675590184,-0.05637782601625707,0.0,0.0,-0.19955989075416047
