coin,wallet,n_fills,tob_fills,tob_rate,volume,mpsc,outage_fills,outage_tob_fills,outage_tob_rate,withdrew
ARB,0x010461c14e146ac35fe42271bdc1134ee31c703a,36,18,0.5,42493.6,0.1016949152542373,63.0,20.0,0.31746031746031744,False
ARB,0x023a3d058020fb76cca98f01b3c48c8938a22355,11,8,0.7272727272727273,18638.4,0.04519774011299435,4.0,2.0,0.5,False
ARB,0x03b9a189e2480d1e4c3007080b29f362282130fa,8,4,0.5,12818.0,0.022598870056497175,0.0,0.0,,True
ARB,0x11987f6d43f248e62f23bbeaebfbb47335cccdd7,1,0,0.0,75.5,0.0,0.0,0.0,,True
ARB,0x230633a6e555acac1a865d09db2197c864e58927,9,6,0.6666666666666666,14479.9,0.03389830508474576,64.0,33.0,0.515625,False
ARB,0x2b86d782236469b008a8505e7f290098990f2cb4,1,1,1.0,279.9,0.005649717514124294,0.0,0.0,,True
ARB,0x31ca8395cf837de08b24da3f660e77761dfb974b,30,22,0.7333333333333333,25592.2,0.12429378531073447,90.0,27.0,0.3,False
ARB,0x35f13dc71426d4a429cf8bad69c4b39abbbf9896,5,4,0.8,802.5,0.022598870056497175,0.0,0.0,,True
ARB,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,13,12,0.9230769230769231,37032.8,0.06779661016949153,0.0,0.0,,True
ARB,0x644f7170fae9d4d173d9217f03b7a77e22ed98f1,4,3,0.75,1496.1,0.01694915254237288,0.0,0.0,,True
ARB,0x6841d054382a35308004089646cc0dc078fc40b5,41,31,0.7560975609756098,74647.4,0.1751412429378531,0.0,0.0,,True
ARB,0x6ba889db7f923622d3548f621ecc2054b80c1817,1,0,0.0,2630.5,0.0,8.0,5.0,0.625,False
ARB,0x6f6a4fe5b944424c115dab4302aaf26f0c7db83f,23,3,0.13043478260869565,22500.0,0.01694915254237288,0.0,0.0,,True
ARB,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,10,2,0.2,38707.399999999994,0.011299435028248588,0.0,0.0,,True
ARB,0x98daeaed62a12b1a882f515416d358254f166de1,1,1,1.0,38.9,0.005649717514124294,0.0,0.0,,True
ARB,0x9e7c5239827f92f82718aaf8ea0a4b05f307c6a9,6,5,0.8333333333333334,967.5,0.02824858757062147,0.0,0.0,,True
ARB,0xa7d1af5afed57829182b637d78fedff2def2bcc8,2,2,1.0,729.1,0.011299435028248588,3.0,2.0,0.6666666666666666,False
ARB,0xa899133b2d5db6d0a7625193f027424fc0ef0d7f,2,2,1.0,2239.1,0.011299435028248588,0.0,0.0,,True
ARB,0xd02928c445d780ea954fe0b6f0be0f6cb9727678,6,4,0.6666666666666666,2092.9,0.022598870056497175,21.0,8.0,0.38095238095238093,False
ARB,0xd11a880a60b889f9e88d260a3be04accd60c0efe,5,4,0.8,212.5,0.022598870056497175,0.0,0.0,,True
ARB,0xd2ccf2ebc5be12ef15235ed6dd70d3ec84859541,3,2,0.6666666666666666,415.9,0.011299435028248588,0.0,0.0,,True
ARB,0xd6ef5649200101eb44ce8949f4cfb167b0c5a07a,2,0,0.0,4598.4,0.0,0.0,0.0,,True
ARB,0xdcac85ecae7148886029c20e661d848a4de99ce2,57,31,0.543859649122807,48226.8,0.1751412429378531,12.0,5.0,0.4166666666666667,False
ARB,0xe419221e9701ffada0c3236df4eaebb66882af47,5,2,0.4,738.6,0.011299435028248588,0.0,0.0,,True
ARB,0xe55a4699c47d6b99b7ce2d96269c561ca9641ecb,2,2,1.0,112.0,0.011299435028248588,0.0,0.0,,True
ARB,0xebe0c50ef61206d1ff6cc55a640c3a267aca15fc,4,4,1.0,3114.0,0.022598870056497175,0.0,0.0,,True
ARB,0xee162a5a60829bd346f0c1ac3514b21fe5f4b290,4,2,0.5,3766.6000000000004,0.011299435028248588,53.0,28.0,0.5283018867924528,False
ARB,0xf27ebb91ea420f73b59b205ac7e0b77a90ec8f3c,1,1,1.0,7283.3,0.005649717514124294,0.0,0.0,,True
ARB,0xfd6fb9847e71fffa53e655429db9d3eabc988634,1,1,1.0,112.0,0.005649717514124294,0.0,0.0,,True
AVAX,0x010461c14e146ac35fe42271bdc1134ee31c703a,108,43,0.39814814814814814,2845.91,0.12573099415204678,45.0,14.0,0.3111111111111111,False
AVAX,0x023a3d058020fb76cca98f01b3c48c8938a22355,28,11,0.39285714285714285,845.36,0.03216374269005848,0.0,0.0,,True
AVAX,0x0266a2451f715276eab4d1a0d6abece0b475af5f,2,0,0.0,210.23,0.0,0.0,0.0,,True
